8/3/2016 7:18:18 AM
4 1 1993 volts
Name	Area	Similarity	Match	R.T. (s)	Height	FWHH (s)	Tailing Factor	Peak S/N	Quant S/N	Base Mass	Quant Masses	CAS	Group	Type	Sample	Spectrum
Peak 1	1991682	144		252.249	54613	1.821	4.66	218	211	281.06	XIC(281.06±500ppm)			Unknown	Day 4 L-4 v-2:3	125.00215:2201.63 125.51928:252.92 133.02263:8389.09 133.47567:359.92 134.03644:1128.15 155.40881:147.62 191.02212:5726.31 193.00656:7812.74 205.10466:850.96 206.96907:1293.33 235.94786:180.24 248.99478:5997.02 250.90209:382.81 265.03695:6861.45 265.99954:6045.08 266.41794:225.53 266.95669:1297.44 281.06160:64237.62 282.05607:19140.67 283.05509:11441.71 284.05600:2142.84 306.61595:137.31 316.75936:128.67 371.84858:176.14 382.00259:95.44 382.49101:118.06 424.69769:79.36 459.82592:79.98 461.16619:110.20 473.79217:82.85 496.17913:188.38 502.77171:130.14 505.60812:191.70 510.50255:338.28 518.57927:104.13 525.46883:552.51 547.78117:126.69 556.76491:239.72 576.16640:199.84 583.95496:136.83 589.55891:301.73 590.53900:80.69 625.57422:129.66 631.01942:202.25 636.08477:105.35 637.10911:80.96 638.68663:98.54
Peak 2	532790	166		255.898	123284	1.110	3.99	11	13	56.08	XIC(56.08±500ppm)			Unknown	Day 4 L-4 v-2:3	56.07799:59063.34 57.08254:9119.53 58.08689:10374.62 245.78467:130.02 281.26481:1142.19 319.54425:87.41 320.88533:126.86 349.84286:304.10 350.78143:266.99 363.52425:239.09 388.59098:248.93 388.80740:110.92 426.30810:84.86 441.65804:499.52 464.59272:108.42 470.77118:182.74 471.31171:212.44 478.67196:166.60 481.05460:288.94 481.98424:123.91 494.68183:114.30 506.12967:487.38 506.25653:352.71 542.38578:156.64 543.72723:281.13 548.54814:231.87 573.58702:107.43 581.24132:75.81 589.89765:360.16 594.22353:305.28 637.93269:213.26 644.61969:100.91
Decane	70889110	942		256.7	4719314	0.757	0.86	2453	1230	57.08	XIC(57.08±500ppm)		p	Unknown	Day 4 L-4 v-2:3	44.54216:29618.05 44.89384:10513.42 45.11785:3135.18 45.48080:8961.31 45.68623:2096.85 45.76432:5922.84 45.96058:3130.87 46.05544:1360.15 46.10713:1090.03 46.45482:8151.08 46.69569:1488.74 46.88686:3598.45 47.03419:940.03 47.14635:1480.66 47.83563:2465.84 48.05555:4885.53 48.26574:1454.47 48.39214:2404.31 48.93829:1885.88 49.16005:7416.96 49.95544:1640.51 50.10831:9306.67 51.04362:49891.49 52.05094:28091.36 52.67159:1691.69 52.86366:4252.22 53.05825:206830.91 54.06454:136125.22 54.72890:5033.52 55.07104:1343616.00 55.73647:5472.46 55.85150:3334.13 56.07808:1622611.79 56.64216:9783.04 57.08495:7983760.24 58.08881:355750.85 58.99644:1469.00 59.08250:11123.45 59.80234:10195.63 60.12670:3350.41 63.03793:12570.77 63.74439:3071.88 64.10853:1429.11 64.16055:571.05 64.34280:3101.81 64.48508:484.02 64.78954:1887.35 64.89970:297.41 65.05383:29059.73 65.61838:1472.01 65.74536:2834.05 66.05986:14054.29 66.40967:2782.46 66.54265:2638.34 66.88786:705.28 67.06979:81256.14 67.53175:2405.70 67.75700:6059.78 68.07509:53306.82 68.66823:3078.97 68.78677:4122.70 68.92011:729.53 69.08184:429375.98 70.08985:1009890.20 71.09637:2738666.37 72.09863:157294.11 72.96668:3917.93 73.14970:3311.49 73.84100:2199.98 74.19378:2528.86 74.40331:1258.86 74.55644:1548.72 74.82009:2100.41 75.19453:740.12 75.34530:884.38 75.56508:1078.53 75.73332:1060.98 76.17210:869.93 76.39035:734.02 76.59517:323.84 76.77289:638.90 76.84117:313.77 77.05063:17241.07 77.26467:960.11 79.06579:16039.97 79.61511:783.68 79.76816:363.99 80.04712:1243.98 80.15884:517.48 80.22830:845.99 80.52247:378.58 80.69556:1199.00 80.81565:1096.89 81.08201:15150.07 81.34613:1427.96 81.42193:795.58 81.63211:390.22 81.66705:627.68 81.81344:974.54 82.08741:24900.48 82.67986:452.74 82.78402:692.47 83.09286:98396.97 83.38334:1379.88 83.50936:954.84 83.80656:1876.47 84.10308:593061.65 85.11079:1629289.44 86.11334:112750.42 86.89879:1715.48 87.11669:5557.74 87.36945:1352.78 87.51446:584.95 87.69122:1125.81 87.80664:864.60 87.98309:2736.69 88.14544:1437.72 88.65749:1278.13 88.81392:2769.23 88.99569:510.28 89.18549:1054.67 89.30745:2749.83 89.58927:1376.95 89.79226:1660.92 89.89735:698.61 90.72582:577.19 91.69512:228.91 93.76887:220.28 94.68125:2357.87 94.78438:408.83 94.89045:255.84 95.08734:3087.55 95.43849:242.66 95.61365:758.75 96.09691:4607.65 96.24753:588.53 97.10976:25555.33 97.47610:478.13 97.62073:1050.16 97.73903:219.01 97.89019:1002.66 98.11682:311317.40 98.61928:1098.68 98.84949:2882.17 99.12454:423324.32 100.12769:34837.32 100.92833:1692.33 101.09999:611.97 101.17793:1548.37 101.39632:4872.26 101.68173:461.47 101.83895:469.36 111.11801:8254.21 112.13042:113520.17 113.13989:260567.90 113.64391:278.78 114.14405:25638.17 114.54414:247.16 114.71124:243.27 114.84056:801.52 115.23713:22437.51 116.21550:1445.79 126.32496:250.39 127.13262:2705.92 140.16106:18741.22 141.17493:1055.89 142.18181:309573.49 143.18493:34621.84 144.19585:1237.05 225.86933:274.64 298.50133:326.67 353.44430:104.44 358.62943:126.36 363.13789:176.98 377.76608:160.59 383.65228:94.33 400.61869:177.63 435.86619:250.73 438.45066:94.70 461.67522:268.70 465.93993:86.90 467.99612:299.92 478.94002:186.19 500.18419:114.16 520.85747:84.33 525.10841:194.05 544.78853:101.85 545.95541:134.85 557.98796:107.81 561.16798:319.84 564.05342:109.00 564.79536:88.52 598.07610:121.88 598.41604:190.01 602.70525:215.67 616.51178:191.81 633.06328:252.79 639.79205:95.45 641.45198:128.12 648.59032:88.27 649.94310:84.65 650.26161:106.44
Decane (C10)	122375924	702		256.715	8178851	0.854	0.83	1840	1154	57.08	XIC(57.07±0.5)		t	Target	Day 4 L-4 v-2:3	57.08461:6406251.50 58.08263:314724.72 59.06588:10341.88 60.03461:4928.00 71.09614:2351168.25 72.08075:135990.31 73.06081:9363.78 74.04763:2744.02 85.11054:1390176.38 86.11066:93563.85 87.04792:5565.93 88.03786:2463.78 142.18142:265596.88 143.18005:29031.25 144.11308:2431.15
Peak 4	18776617	511		271.026	1254116	0.755	1.03	1106	364	57.08	XIC(57.08±500ppm)			Unknown	Day 4 L-4 v-2:3	45.07348:7213.73 46.06499:2589.52 46.41595:360.76 46.55341:1618.70 47.05629:5926.58 48.05433:8284.10 48.55519:2763.58 49.05500:15418.65 49.55674:4766.15 50.03706:28156.27 50.80755:428.23 51.04323:35026.28 51.44269:825.39 51.53314:802.49 52.04595:11585.62 52.15032:521.08 53.05803:84269.52 53.34517:1828.43 54.06240:23198.46 55.07068:461144.89 55.46785:538.37 55.58407:425.95 56.07829:409603.02 57.08491:2124213.63 57.48201:3922.48 57.56625:1289.36 57.63833:1378.14 58.06189:501114.50 58.38424:974.38 58.48164:301.12 59.06423:745085.12 59.48796:306.76 59.75294:291.72 59.82531:319.57 60.06425:29423.61 60.28467:271.72 61.09548:1561.02 63.06217:2645.03 65.06213:8778.20 65.22687:308.83 66.12205:1775.49 67.06757:28606.00 68.08997:4535.14 68.82838:272.06 69.08249:80302.07 70.08278:29172.82 71.09515:39088.03 71.89048:276.97 73.07325:16073.51 74.08724:2530.65 75.05493:510285.80 76.05487:17441.11 77.05260:11172.97 79.06667:18435.14 81.08276:17082.27 83.09795:17124.20 85.03665:1179.48 95.08847:3183.52 96.04928:1088.19 97.11017:134245.94 98.11320:13131.98 99.09036:5609.21 112.13148:65938.17 113.13459:72068.22 114.12399:12198.60 115.11875:21377.99 116.12140:2624.87 131.11238:5759.70 244.68195:299.38 276.13777:113.48 282.66194:78.22 291.92382:132.64 346.55079:101.57 378.10641:137.31 389.42340:85.47 397.68249:308.50 410.08817:78.62 418.58169:232.47 455.77895:288.73 469.28195:308.40 472.63730:85.11 475.65530:302.96 478.59289:287.31 482.70770:160.97 484.85316:332.32 488.03640:76.28 491.17643:170.40 511.45327:167.50 518.37397:305.11 522.28388:105.18 528.25896:149.82 531.63818:151.35 536.58297:100.90 566.28069:82.50 567.02409:148.53 598.76366:152.28 607.15727:234.46 637.97650:103.47
Peak 5	1043434	43		281.851	63563	0.777	1.91	114	85	207.04	XIC(207.04±500ppm)			Unknown	Day 4 L-4 v-2:3	56.07516:32537.81 71.09357:9725.23 75.04767:4949.45 88.98092:1311.15 96.00533:6695.92 96.50743:2417.43 97.00084:7629.28 97.50781:1964.08 111.03034:1355.60 130.53467:291.63 133.03602:8685.95 134.97948:1916.94 162.98773:1521.84 164.98175:1802.88 177.11569:668.39 178.90739:520.28 191.02372:9374.91 191.91681:3211.86 192.04015:3613.88 193.00359:11931.69 193.29926:638.56 194.00807:3698.43 205.22095:265.45 207.04132:82266.80 208.03801:18072.74 209.03349:14124.86 210.04087:2672.67 224.55276:330.00 225.05409:1996.41 283.87069:83.57 295.49136:356.88 321.98119:470.87 354.38424:113.45 359.30535:138.72 368.71722:321.15 418.22266:93.74 424.08077:244.27 425.08391:100.72 426.75956:99.14 442.61172:260.99 445.25497:446.93 457.78323:246.00 475.28879:101.68 481.91568:86.24 494.68183:157.32 497.07797:191.40 504.80443:96.66 505.43611:108.33 505.82532:406.30 508.31876:100.85 519.39714:177.04 532.53958:116.97 535.20939:108.86 541.73140:88.55 542.82225:83.40 599.56397:246.62 599.94937:203.64 610.58981:92.91 612.33121:242.75 615.30618:97.77 615.49232:160.00 616.27371:426.87 619.72968:99.56 627.52850:130.46
Peak 6	27368	47		295.668	3184	1.426	2.19	10	11	267.01	XIC(267.01±500ppm)			Unknown	Day 4 L-4 v-2:3	267.01013:3370.83 296.02032:255.01 308.67314:222.50 321.25007:372.94 328.65107:129.69 333.84653:243.01 349.75542:104.76 370.83009:212.97 374.14222:325.86 379.66033:195.91 381.27053:82.36 384.38662:89.45 390.56288:294.03 397.75584:285.73 426.24362:97.43 426.47180:268.00 426.85577:187.43 426.92150:188.49 427.30856:389.17 441.39813:95.08 444.02639:98.99 448.94229:265.52 474.23380:342.06 494.26518:140.89 511.06840:105.91 511.28022:99.06 520.07378:118.28 520.35869:86.69 527.57857:87.72 530.52361:109.41 543.84136:135.13 549.82963:133.24 550.37630:144.74 550.52981:368.31 588.11299:102.67 592.05779:96.21 596.81660:181.29 599.71879:330.10
Peak 7	900348	358		297.295	50620	0.671	1.56	116	22	57.09	XIC(57.09±500ppm)			Unknown	Day 4 L-4 v-2:3	56.07819:41528.28 57.08512:74403.34 58.10055:2039.59 70.13739:3141.09 70.20721:377.16 71.09638:39085.70 84.10252:5343.39 85.11054:17488.94 92.77418:201.41 97.09211:954.67 98.10966:1170.15 98.17150:573.32 99.07037:572.29 99.16359:682.95 120.46516:225.24 120.97963:309.00 125.99689:15569.39 126.49523:4195.49 127.00762:3196.06 127.15273:1482.51 127.48544:217.50 134.99474:635.74 144.36485:151.04 164.95065:1273.96 175.31273:210.42 179.00714:2742.61 180.01511:311.54 193.01035:11530.17 193.34232:564.33 193.97380:587.98 195.01884:378.44 205.80283:128.32 222.92204:1245.83 236.97141:3059.79 238.94191:1506.68 250.70571:508.82 250.99090:8673.67 251.94836:8609.46 252.99520:5065.26 253.40763:540.77 253.97795:275.14 267.01031:49070.83 268.02065:19145.69 269.00067:7890.15 269.97595:860.07 279.80559:308.74 283.03098:8639.66 284.01606:2343.79 285.18748:236.79 295.69726:197.04 309.90544:115.76 364.74637:116.89 389.76894:284.07 395.39544:240.83 407.90152:353.03 408.95066:141.12 409.45602:121.81 415.38336:297.16 419.52960:213.35 421.16551:99.04 434.79649:95.61 435.38274:80.42 439.53430:279.06 478.49403:135.47 496.90697:83.53 516.37702:167.24 524.28414:190.23 525.21413:106.37 531.13728:391.38 552.14150:194.22 560.01646:164.86 568.95921:125.00 572.54039:96.64 574.37240:197.00 574.66844:209.49 577.37352:255.63 578.23359:117.07 584.37307:244.10 626.04297:93.31 630.07295:260.22 632.69073:475.72 633.64544:95.45
Peak 8	500145	104		302.04	33049	0.757	1.11	175	149	254.01	XIC(254.01±500ppm)			Unknown	Day 4 L-4 v-2:3	45.82292:548.20 60.01851:3458.29 99.02315:1338.25 117.09721:711.09 127.00805:3995.66 176.14047:258.06 185.01563:4637.49 185.13800:5603.60 202.97346:1087.85 204.01641:8766.17 204.99737:294.09 223.00641:15151.48 224.01957:1058.75 225.42045:147.40 234.99271:2852.69 236.09176:206.91 247.82015:335.70 254.00725:40849.06 255.01137:5225.25 264.48473:133.14 306.06941:113.99 315.98177:162.04 358.03831:180.97 376.40811:124.59 378.28859:79.73 421.48601:105.95 431.93609:139.49 437.44720:553.44 439.95591:122.24 442.12012:98.86 442.71128:201.74 446.79447:91.00 471.31579:198.18 477.03233:276.45 507.71778:225.72 515.63165:208.92 518.65039:88.10 528.15257:91.74 538.75536:89.16 550.63543:102.56 556.18130:207.08 559.39045:173.15 564.23032:226.48 571.04687:104.39 591.67791:152.86 597.43196:200.58 613.52574:116.91 622.41757:265.70 628.38935:79.67 628.74097:308.09 630.97543:80.51 641.80372:150.56 650.22481:160.96
Perfluoronaphthalene	50391435	867		304.685	3530581	0.736	1.03	17709	14733	272.00	XIC(272.00±500ppm)		p	Unknown	Day 4 L-4 v-2:3	51.03012:4536.05 55.01456:20051.19 62.01642:4857.83 63.05304:1535.01 66.06109:1772.36 66.99459:2522.01 69.00955:84505.26 69.43790:503.52 72.01286:3537.52 74.01220:59965.73 74.30290:1655.92 74.43938:440.54 74.49606:1101.43 74.98231:1009.06 75.35709:555.05 76.50952:4169.17 79.01128:152382.81 79.85180:329.55 80.01680:8479.63 80.11428:2551.94 80.27422:990.50 80.41499:1857.42 80.66255:336.80 80.74665:303.38 80.88693:345.15 81.53375:251.07 82.52003:3410.24 83.78885:538.78 84.01488:17579.06 84.31871:268.53 84.70600:489.12 84.97911:654.95 85.30940:448.00 85.42288:2351.51 86.00909:43727.61 86.48959:1177.51 87.61159:747.50 88.34914:197.33 88.51222:569.70 89.31985:231.45 90.66926:4670.99 91.01995:20010.13 91.15796:711.40 91.82882:608.16 92.00998:8267.11 92.32381:238.79 92.50430:1469.12 92.75898:550.57 93.00636:313197.96 93.42167:482.79 93.56015:1095.82 93.71673:1020.28 93.78443:356.14 94.01087:10883.64 94.17570:1004.38 94.32906:500.00 94.54109:575.90 94.66296:526.06 95.82191:787.76 95.97854:2041.79 96.07988:1167.80 96.24735:611.84 96.67922:514.81 96.85355:718.28 96.95636:745.79 97.59941:435.11 98.00880:130798.35 98.46865:1553.95 99.01824:9959.53 99.17727:1801.25 99.68327:669.68 100.02073:1173.50 100.27079:570.97 100.37946:236.20 100.52287:1268.87 100.73493:1236.27 101.11385:1013.35 101.22557:265.61 101.50209:27889.89 101.89850:848.69 101.99813:2714.62 102.31162:345.05 102.38280:1629.53 102.67526:213.38 103.01148:171661.12 104.02033:17896.66 105.01282:21725.65 105.49125:3581.98 105.70187:254.29 105.78191:331.62 105.84795:700.16 106.00849:1081.10 107.63609:313.82 108.01441:9346.74 108.95256:875.05 109.31085:600.36 109.49093:935.96 110.00964:100863.56 110.42299:475.00 110.52060:525.31 110.65204:662.06 111.00581:12201.47 111.47108:882.02 111.72211:235.50 112.59766:959.03 113.72667:556.87 114.66020:479.52 115.01342:26515.67 115.32988:647.97 115.39773:348.09 115.54857:227.68 116.00614:2700.73 116.37299:2203.92 116.47181:558.79 116.64215:521.73 117.00809:307866.82 118.01560:19544.97 118.81543:855.42 119.07012:2789.86 119.23397:3784.14 119.62855:388.29 119.76236:1633.37 120.01904:6634.34 120.25155:1460.46 120.51415:6563.46 120.80726:2801.67 120.97963:524.07 121.11701:517.23 121.23448:709.82 121.34016:366.10 122.00952:194960.73 123.01236:19530.30 124.00600:13976.87 124.17632:4607.23 124.62403:5529.28 124.89055:398.71 125.31321:2301.22 125.53236:2255.36 125.83877:1936.37 126.27188:689.80 126.50272:29587.71 127.01187:57112.87 128.03745:10559.42 129.01077:61621.61 130.01864:4765.92 130.30150:579.69 130.35225:1166.94 130.68222:2112.81 130.85586:291.37 130.94973:1136.35 131.17744:437.05 131.26762:963.25 131.48121:2445.07 131.66036:1066.96 131.85765:336.20 132.21958:2498.09 132.49472:1695.35 132.66491:2001.72 132.90064:950.97 132.95708:841.50 133.07924:795.22 133.27718:863.78 133.49515:2328.07 133.72091:723.14 134.01002:182057.59 135.01490:19340.91 135.99940:443662.09 136.50212:51690.95 137.00552:8205.25 137.74953:1471.24 138.14858:3175.26 138.84820:2370.98 139.23496:692.64 139.42552:1610.66 139.92146:940.89 140.02805:3239.55 140.27306:2124.50 140.56953:5029.24 141.00914:376584.18 142.01487:33216.70 145.02255:1272.01 145.27435:3878.57 146.01387:98692.41 147.01967:19389.65 148.01052:39697.90 148.98795:5440.90 149.14734:3845.94 149.95340:703.63 150.10332:893.13 150.30682:3746.55 150.93690:1053.50 151.09859:807.33 151.28840:3732.73 153.01272:205136.60 154.02127:22924.71 155.00827:12126.16 155.89670:1571.20 156.15517:6432.00 156.28981:14199.64 156.76308:2610.70 157.30174:1211.69 157.52479:3630.63 158.02279:10972.29 158.40309:753.04 158.56488:991.89 159.05423:4872.70 159.26596:1668.03 160.01057:59768.40 160.61236:1587.92 161.01162:8503.83 162.99214:867.88 163.29867:5305.39 165.01426:262596.57 166.02154:30898.67 167.02794:10768.62 168.01211:3065.90 168.21288:3079.73 171.01951:954.04 171.17707:1509.30 172.01336:227450.19 173.01670:22993.43 175.44652:23350.37 177.01657:5665.32 177.19691:4427.09 177.65765:630.72 177.78002:802.82 178.01284:1771.48 178.19485:677.67 178.40801:1619.57 178.66037:1378.07 179.00869:75739.89 180.01404:7738.98 180.58004:472.50 180.87590:723.13 181.59064:1126.57 181.84157:786.83 182.36858:239.08 182.62722:780.50 182.69497:781.90 182.89796:1111.70 183.52489:609.98 183.58388:636.04 184.01519:97435.79 184.70680:1482.99 185.05650:13331.85 185.20444:1407.16 185.67212:258.92 186.03557:2795.95 186.68732:859.64 186.88603:592.48 187.23409:1254.69 187.50920:8701.47 188.29751:709.43 188.46843:505.69 188.51286:510.42 188.79077:344.07 191.01001:179054.19 192.01709:18073.34 192.91267:1284.95 193.01832:480.73 193.12425:1774.48 193.26181:793.32 193.42861:471.18 194.58669:36648.55 195.54575:5888.94 196.01590:6885.17 196.39430:355.10 196.43985:388.29 198.01024:1954.55 198.10576:479.04 200.77250:225.67 201.19126:714.68 201.56962:227.42 201.70263:263.50 203.01291:880763.97 204.01707:106223.82 207.43331:29444.97 208.04852:554.63 208.20563:553.78 208.56507:1466.39 208.85995:217.04 209.31160:863.88 210.00929:155900.63 211.01222:15321.20 212.09513:27949.95 213.35792:2975.37 214.22785:3908.67 214.59398:911.19 214.70465:447.83 215.01647:12286.23 215.54579:289.72 215.63748:241.55 215.90640:1032.67 216.02828:1177.68 216.50952:242.13 216.64737:278.56 218.01682:2613.65 218.26675:973.89 218.51160:548.01 218.69131:1100.91 218.88554:610.95 219.96074:653.17 220.08521:617.71 220.82676:772.15 221.08176:359.77 221.19402:814.54 221.38253:832.53 222.00430:1114425.02 223.01134:122509.39 224.00401:12797.71 225.72856:137797.81 226.63847:15078.23 227.15082:1944.68 227.56350:644.44 227.86567:935.94 228.58507:847.01 228.73983:718.08 229.04462:276.62 229.23368:265.39 229.35022:482.82 229.58722:461.03 229.87208:484.86 230.13277:285.26 230.43964:479.20 230.82053:471.95 231.48454:453.64 231.69854:191.13 231.79361:191.05 232.26923:243.65 232.76930:418.67 232.91307:452.62 233.48334:280.29 234.01163:119353.20 235.01587:16919.13 235.87641:1191.45 236.13103:1543.64 237.09574:4147.95 237.70379:528.15 237.84610:430.77 238.35206:237.05 238.47265:469.51 238.71479:560.15 238.83436:222.02 239.58187:978.75 239.71434:1014.58 239.97038:542.19 240.30731:481.52 241.00218:2147071.58 242.00677:221519.17 242.98921:213288.21 245.15077:2329.28 245.50388:1790.97 245.66406:316.50 246.07672:2430.74 246.66975:1034.77 246.83899:481.76 247.45187:233.99 247.72849:1105.21 247.85108:1092.95 248.14000:218.68 248.47265:858.91 248.68088:990.32 248.84622:618.34 249.19789:460.77 249.44326:1235.56 249.68953:381.52 249.98385:749.58 250.21258:1410.75 250.55599:207.42 250.80370:932.47 251.17460:490.62 251.38882:1388.09 251.91910:791.05 252.29420:1294.17 252.51086:1062.44 253.01263:290888.91 254.01898:49889.80 255.04027:6142.37 255.59797:547.83 255.76571:2805.50 256.37582:1965.89 256.70102:961.68 257.14036:2832.59 257.57363:1712.84 257.72897:651.08 257.92000:1223.94 258.09040:642.05 258.29582:812.21 258.90429:509.28 259.53158:452.71 259.78316:269.51 260.03486:383.53 260.47896:1332.15 260.91017:1077.96 261.52077:675.77 261.84302:2022.72 262.10339:288.45 262.28016:432.36 262.70926:666.86 262.99103:518.60 263.36872:261.51 263.49323:507.00 263.62215:204.13 263.74890:411.09 263.95044:567.89 264.24049:763.45 264.58874:1908.23 265.04362:260.26 265.19615:235.38 265.45046:210.13 270.05668:4888.88 270.56225:256.93 271.05217:925.06 271.99684:4468648.90 273.00040:489585.62 273.99879:27505.69 274.99796:4286.92 275.43712:1298.66 275.54234:453.55 275.72282:225.90 276.08588:261.27 276.39727:179.24 306.86024:362.15 310.73055:92.68 345.62131:131.97 373.86783:92.56 375.13690:111.73 379.93025:88.98 380.75478:254.33 410.84738:98.31 411.48059:109.13 426.40301:173.67 449.83604:186.93 451.65444:412.00 452.98251:236.56 470.70559:233.01 471.31699:199.93 486.79538:117.13 488.13693:191.40 535.13714:121.14 554.00517:487.81 561.75653:89.92 563.86860:294.35 565.80137:218.55 570.74839:88.14 577.55792:182.64 579.84952:400.75 580.29839:232.61 589.35898:221.39 590.15961:95.06 591.07036:76.87 592.89396:84.09 598.99293:95.74 635.08437:682.87 636.90865:252.83 642.05372:331.07 646.60348:162.88 649.70427:108.53
